cycle number,time/s,Ecell/V,I/mA,Q charge/mA.h
26.0,721090.0319517925,3.540344,0.87995511,0.6470290649613738
26.0,721120.0319549218,3.5408952,0.87993538,0.6543620797717903
26.0,721150.031958051,3.541486,0.87991571,0.6616951000081831
26.0,721180.0319611803,3.5421162,0.87995511,0.669028125190205
26.0,721210.0319643095,3.542707,0.87989604,0.6763611388723386
26.0,721240.0319674388,3.5433371,0.88009292,0.6836941522812843
26.0,721270.031970568,3.5439277,0.87989604,0.6910271648923555
26.0,721300.0319736972,3.5444791,0.87991571,0.6983601817275749
26.0,721330.0319768265,3.5451486,0.87997478,0.7056931910687353
26.0,721360.0319799557,3.5457394,0.88001418,0.7130261999493506
26.0,721390.031983085,3.5463696,0.88001418,0.7203592096500595
26.0,721420.0319862142,3.547039,0.87997478,0.7276922283196781
26.0,721450.0319893435,3.5475903,0.87989604,0.7350252509962519
26.0,721480.0319924727,3.54826,0.87999451,0.7423582641307513
26.0,721510.031995602,3.5489688,0.88003385,0.7496912764369117
26.0,721540.0319987312,3.5496776,0.87997478,0.757024294201268
26.0,721570.0320018604,3.5503078,0.88003385,0.7643573032903008
26.0,721600.0320049897,3.5508986,0.87987632,0.7716903134741054
26.0,721630.0320081189,3.5516074,0.87989604,0.7790233382631342
26.0,721660.0320112482,3.5522375,0.87995511,0.7863563565186329
26.0,721690.0320143774,3.5529463,0.87997478,0.7936893953416746
26.0,721720.0320175067,3.553616,0.87993538,0.8010224433233342
26.0,721750.0320206359,3.5543249,0.87993538,0.808355466043022
26.0,721780.0320237651,3.554955,0.88009292,0.8156884996375111
26.0,721810.0320268944,3.5556245,0.88005358,0.8230215266025067
26.0,721840.0320300236,3.556294,0.87989604,0.8303545536548231
26.0,721870.0320331529,3.5570028,0.88003385,0.8376875552732416
26.0,721900.0320362821,3.5575936,0.87993538,0.8450205644725761
26.0,721930.0320394114,3.5582631,0.87995511,0.8523535882232919
26.0,721960.0320425406,3.5590508,0.87993538,0.8596866289935842
26.0,721990.0320456699,3.5596809,0.87997478,0.8670196732878687
26.0,722020.0320487991,3.560508,0.87995511,0.8743526979679203
26.0,722050.0320519283,3.5610988,0.87993538,0.8816857163109053
26.0,722080.0320550576,3.5616894,0.87977785,0.8890187448177738
26.0,722110.0320581868,3.5623589,0.87993538,0.8963517566973968
26.0,722140.0320613161,3.5631073,0.87989604,0.903684768160913
26.0,722170.0320644453,3.5638161,0.87997478,0.9110177852935928
26.0,722200.0320675746,3.5646038,0.88003385,0.9183507950067524
26.0,722230.0320707038,3.5652339,0.87997478,0.9256838061744308
26.0,722260.032073833,3.5661004,0.88007325,0.933016817549931
26.0,722290.0320769623,3.5666912,0.88001418,0.9403498462001156
26.0,722320.0320800915,3.5675182,0.87989604,0.947682852552666
26.0,722350.0320832208,3.5682271,0.87999451,0.955015862252812
26.0,722380.03208635,3.5689359,0.87989604,0.9623488858164684
26.0,722410.0320894793,3.5696447,0.87989604,0.96968190152463
26.0,722440.0320926085,3.5703931,0.87999451,0.9770149004625284
26.0,722470.0320957378,3.5710626,0.87989604,0.9843479074595703
26.0,722500.032098867,3.5718896,0.87989604,0.991680908803079
26.0,722530.0321019962,3.5725985,0.88001418,0.9990139185255436
26.0,722560.0321051255,3.5732679,0.87993538,1.006346919694775
26.0,722590.0321082547,3.5740163,0.87995511,1.013679936999977
26.0,722620.032111384,3.5748041,0.87999451,1.021012944819696
26.0,722650.0321145132,3.5755916,0.87989604,1.02834596141494
26.0,722680.0321176425,3.57634,0.87993538,1.035678962136408
26.0,722710.0321207717,3.5770488,0.87999451,1.043011979855233
26.0,722740.032123901,3.5777183,0.88015205,1.050344992294643
26.0,722770.0321270302,3.5785453,0.88003385,1.057678010584745
26.0,722800.0321301594,3.5794511,0.87981725,1.065011026773652
26.0,722830.0321332887,3.5801601,0.87997478,1.072344058747722
26.0,722860.0321364179,3.580869,0.88005358,1.07967708744314
26.0,722890.0321395472,3.5816567,0.87991571,1.087010115765598
26.0,722920.0321426764,3.5824835,0.87995511,1.094343136954573
26.0,722950.0321458057,3.5832319,0.88003385,1.101676133997242
26.0,722980.0321489349,3.5840197,0.87995511,1.109009140296049
26.0,723010.0321520641,3.5849254,0.88001418,1.116342140194078
26.0,723040.0321551934,3.5856342,0.87999451,1.123675135290623
26.0,723070.0321583226,3.5863826,0.87997478,1.13100815361268
26.0,723100.0321614519,3.587249,0.88001418,1.138341177513765
26.0,723130.0321645811,3.5879972,0.87991571,1.145674203471707
26.0,723160.0321677104,3.5889425,0.87995511,1.153007236300541
26.0,723190.0321708396,3.5898089,0.87997478,1.160340253244374
26.0,723220.0321739689,3.5905571,0.87991571,1.167673260014322
26.0,723250.0321770981,3.5913842,0.87995511,1.175006275348465
26.0,723280.0321802273,3.5922112,0.87995511,1.182339281320109
26.0,723310.0321833566,3.5930383,0.87995511,1.189672282728354
26.0,723340.0321864858,3.5939441,0.87993538,1.197005283962091
26.0,723370.0321896151,3.5948498,0.88015205,1.204338279692134
26.0,723400.0321927443,3.5956769,0.87997478,1.211671286252837
26.0,723430.0321958736,3.596622,0.88001418,1.219004301467439
26.0,723460.0321990028,3.597528,0.87999451,1.226337328978578
26.0,723490.032202132,3.5985124,0.87997478,1.233670344960027
26.0,723520.0322052613,3.5992215,0.87995511,1.241003363940021
26.0,723550.0322083905,3.6002059,0.88003385,1.248336371913851
26.0,723580.0322115198,3.6010723,0.88001418,1.255669392368098
26.0,723610.032214649,3.6020963,0.87995511,1.263002434658408
26.0,723640.0322177783,3.6029234,0.88003385,1.270335452511542
26.0,723670.0322209075,3.6037898,0.87983698,1.277668473535677
26.0,723700.0322240368,3.6048138,0.87983698,1.285001495239106
26.0,723730.032227166,3.6056802,0.88003385,1.292334511330393
26.0,723760.0322302952,3.6067436,0.87993538,1.299667528460423
26.0,723790.0322334245,3.607728,0.87997478,1.307000542210374
26.0,723820.0322365537,3.608752,0.87991571,1.314333554637168
26.0,723850.032239683,3.6096973,0.88005358,1.321666554284262
26.0,723880.0322428122,3.6107211,0.87999451,1.328999563613236
26.0,723910.0322459415,3.6116664,0.88001418,1.336332585983012
26.0,723940.0322490707,3.6127691,0.87999451,1.343665612685548
26.0,723970.0322522,3.6137931,0.87995511,1.350998640645709
26.0,724000.0322553292,3.6147776,0.88003385,1.358331678899527
26.0,724030.0322584584,3.6158409,0.87999451,1.365664721716874
26.0,724060.0322615877,3.6169436,0.88017172,1.372997758452462
26.0,724090.0322647169,3.6180859,0.88003385,1.380330788479149
26.0,724120.0322678462,3.6190703,0.87989604,1.387663821482162
26.0,724150.0322709754,3.6202912,0.87999451,1.394996855875221
26.0,724180.0322741047,3.6213939,0.88007325,1.402329903236595
26.0,724210.0322772339,3.6224966,0.87991571,1.409662953362598
26.0,724240.0322803631,3.6237175,0.87999451,1.416996008487741
26.0,724270.0322834924,3.6249778,0.87991571,1.424329054795404
26.0,724300.0322866216,3.6261199,0.87995511,1.431662107796768
26.0,724330.0322897509,3.6273015,0.87995511,1.438995136108134
26.0,724360.0322928801,3.6286404,0.88005358,1.446328191364242
26.0,724390.0322960094,3.629822,0.87999451,1.453661255527636
26.0,724420.0322991386,3.6311216,0.87991571,1.46099429308229
26.0,724450.0323022678,3.6324213,0.87999451,1.468327344672614
26.0,724480.0323053971,3.6337209,0.87987632,1.475660390957892
26.0,724510.0323085263,3.6349812,0.87993538,1.482993446203272
26.0,724540.0323116556,3.636517,0.87999451,1.490326499904196
26.0,724570.0323147848,3.6378167,0.87987632,1.497659546298915
26.0,724600.0323179141,3.6393132,0.87993538,1.504992602222529
26.0,724630.0323210433,3.6407309,0.87983698,1.512325662140747
26.0,724660.0323241726,3.6423063,0.88005358,1.519658725984428
26.0,724690.0323273018,3.6439209,0.87991571,1.526991785255009
26.0,724720.032330431,3.6455357,0.87991571,1.534324841779504
26.0,724750.0323335603,3.6471503,0.87981725,1.54165790597621
26.0,724780.0323366895,3.6488044,0.88003385,1.548990971570512
26.0,724810.0323398188,3.6506162,0.87989604,1.556324022036394
26.0,724840.032342948,3.652349,0.88007325,1.56365708947089
26.0,724870.0323460773,3.6543574,0.87995511,1.570990151881609
26.0,724900.0323492065,3.6562872,0.87991571,1.578323215126627
26.0,724930.0323523358,3.6584532,0.87997478,1.585656262668868
26.0,724960.032355465,3.6606588,0.87991571,1.592989305954112
26.0,724990.0323585942,3.6629822,0.87989604,1.600322339319057
26.0,725020.0323617235,3.6655028,0.88001418,1.607655372365515
26.0,725050.0323648527,3.668299,0.87991571,1.614988414155477
26.0,725080.032367982,3.6712527,0.88001418,1.622321445815001
26.0,725110.0323711112,3.6745214,0.87987632,1.62965448747327
26.0,725140.0323742405,3.6782629,0.88001418,1.636987533759707
26.0,725170.0323773697,3.6823194,0.87997478,1.644320583916737
26.0,725199.8823804846,3.6873209,0.87991571,1.651616954235998
26.0,725225.6883831762,3.6923225,0.87989604,1.657924830564857
26.0,725247.3603854366,3.6973243,0.87991571,1.66322220101691
26.0,725265.3023873083,3.7023258,0.87989604,1.667607820913494
26.0,725280.4943888932,3.7073276,0.87985665,1.671321249263684
26.0,725293.368390236,3.7123291,0.87999451,1.674468074695899
26.0,725304.3543913811,3.7173307,0.88007325,1.677153417934378
26.0,725313.8823923757,3.7223325,0.87995511,1.679482373472552
26.0,725322.2343932465,3.727334,0.88007325,1.681523884067105
26.0,725329.7223940268,3.7323356,0.88001418,1.683354205228554
26.0,725336.592394745,3.7373374,0.87991571,1.685033465778961
26.0,725342.7303953841,3.7423389,0.87993538,1.686533801402814
26.0,725348.4503959818,3.7473404,0.88001418,1.687931963511871
26.0,725353.6583965234,3.7523422,0.87989604,1.689204971734782
26.0,725358.6263970428,3.7573438,0.87997478,1.690419316557613
26.0,725363.2523975251,3.7623456,0.87999451,1.691550070349872
26.0,725367.7063979898,3.7673471,0.88001418,1.692638778025442
26.0,725371.9403984314,3.772388,0.87997478,1.693673705633978
26.0,725375.9883988537,3.7773898,0.87997478,1.694663171904319
26.0,725379.9363992657,3.7823913,0.87995511,1.695628195327587
26.0,725383.7363996617,3.7873929,0.87995511,1.696557039635943
26.0,725387.4564000499,3.7923946,0.87995511,1.697466331201527
26.0,725391.1404004348,3.7973962,0.88009292,1.698366820820934
26.0,725393.0124006299,3.800035,0.87997478,1.698824399880535
26.0,725393.0144006303,3.7999561,0.88001418,1.698824888777303
27.0,736275.5075357622,3.4458642,0.87995511,4.888639516300625e-07
27.0,736275.5435357653,3.450866,0.87993538,9.288524389266967e-06
27.0,736275.6815357804,3.4558675,0.87997478,4.301999436484443e-05
27.0,736276.0955358222,3.4609087,0.88001418,0.0001442144482334455
27.0,736277.02153592,3.4659102,0.87983698,0.0003705597893728151
27.0,736278.7215360962,3.4709117,0.87997478,0.0007860958823230532
27.0,736281.3535363711,3.4759135,0.87993538,0.001429442420668072
27.0,736285.0655367589,3.4809544,0.87997478,0.002336779197686248
27.0,736290.2935373038,3.4859955,0.88001418,0.00361467630032036
27.0,736298.3235381423,3.4910364,0.87995511,0.005577476649151908
27.0,736312.1675395854,3.4960382,0.87991571,0.008961413260300954
27.0,736342.1675427146,3.5006459,0.88007325,0.01629440509557724
27.0,736372.1675458439,3.502418,0.87995511,0.02362741034557422
27.0,736402.1675489731,3.5031271,0.87997478,0.03096039985285864
27.0,736432.1675521024,3.5037179,0.87995511,0.03829341324180364
27.0,736462.1675552316,3.5039542,0.87993538,0.04562642118281788
27.0,736492.1675583608,3.5043478,0.88003385,0.05295942060059971
27.0,736522.1675614901,3.504663,0.87997478,0.06029242862866984
27.0,736552.1675646193,3.5049779,0.87991571,0.06762543814410765
27.0,736582.1675677486,3.5053718,0.87997478,0.07495845469415187
27.0,736612.1675708778,3.5055294,0.87987632,0.08229147391200065
27.0,736642.1675740071,3.5059626,0.87993538,0.08962449479487206
27.0,736672.1675771363,3.5062382,0.88001418,0.09695750447551409
27.0,736702.1675802656,3.5064745,0.88001418,0.104290517154071
27.0,736732.1675833948,3.5069473,0.88003385,0.1116235298868682
27.0,736762.167586524,3.5071442,0.87997478,0.1189565349618262
27.0,736792.1675896533,3.5074198,0.87991571,0.1262895660107003
27.0,736822.1675927825,3.5076561,0.87985665,0.1336225991586513
27.0,736852.1675959118,3.5080893,0.87999451,0.1409556214209066
27.0,736882.167599041,3.5083256,0.87999451,0.1482886417242222
27.0,736912.1676021703,3.5087194,0.87999451,0.1556216511670086
27.0,736942.1676052995,3.5091527,0.88001418,0.1629546788339482
27.0,736972.1676084287,3.5093889,0.88009292,0.1702876983722382
27.0,737002.167611558,3.5097039,0.87971878,0.1776207022862964
27.0,737032.1676146872,3.5101767,0.87997478,0.1849537149194214
27.0,737062.1676178165,3.5105309,0.88005358,0.1922866862643427
27.0,737092.1676209457,3.5108461,0.87991571,0.1996196655553248
27.0,737122.167624075,3.51124,0.87989604,0.2069526311588287
27.0,737152.1676272042,3.5116732,0.87995511,0.2142855961055557
27.0,737182.1676303335,3.5120671,0.87983698,0.221618568503956
27.0,737212.1676334627,3.5124607,0.88005358,0.2289515580228302
27.0,737242.1676365919,3.5128152,0.87997478,0.2362845396302475
27.0,737272.1676397212,3.5133271,0.87995511,0.2436175675681896
27.0,737302.1676428504,3.5136817,0.88003385,0.2509505947298143
